job_title,company,location,raw_content,job_url,stipend_text,duration_text,stipend_numeric,category,is_remote
Unknown,Unknown,Remote,"Get hired in  Data Science|4.5|Online Placement Course with AI|Highest salary offered: ₹9 LPA|Learn from industry experts of Paypal, Indigo & more|Skills you will learn|Python|Data Analysis|Machine Learning|and more|Course fees|(refundable if not placed)|₹34999|₹40000|Apply now",,₹9,N/A,9.0,Other,False
Data Analytics,Fitelo,Mohali,"Data Analytics|Fitelo|Mohali|₹ 13,000 - 15,000 /month|3 Months|1. Data collection & management – Gather data from different departments and ensure it’s accurate and up to date
2. Report generation – Prepare daily, weekly, and monthly MIS reports for management
3. Data analysis – Analyze trends, performance metrics, and KPIs to support decision-making
4. Database maintenance – Maintain MIS databases, dashboards, and spreadsheets
5. System monitoring – Ensure MIS systems and tools function smoothly
6. Process improvement – Identify gaps and suggest improvements in data flow and reporting
7. Automation support – Help automate reports using Excel, BI tools, or ERP systems
8. Inter-department coordination – Work with sales, finance, HR, operations, etc. to collect and validate data
9. Management support – Provide timely information and insights to senior management
10. Data accuracy checks – Verify reports before submission to avoid errors
11. Data confidentiality – Ensure that sensitive information is handled securely
12. Policy adherence – Follow the company and regulatory data policies
13.|SQL|Data Analytics|MS-Excel|5 days ago",https://internshala.com/internship/detail/data-analytics-internship-in-mohali-at-fitelo1770029149,"₹ 13,000 - 15,000",3 Months,14000.0,Data Science & AI,False
Performance Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,"Performance Marketing|Hungama Digital Media Entertainment Private Limited|Actively hiring|Mumbai|₹ 5,000 - 10,000 /month|3 Months|1. Assist in setting up and managing META & Google Ads campaigns
2. Support in basic campaign optimizations (budgets, creatives, audiences)
3. Monitor daily performance and help maintain trackers
4. Prepare and share daily/weekly performance reports
5. Coordinate with the creative team for ad copies, banners, and videos
6. Conduct basic audience and competitor research
7. Ensure campaign hygiene and follow internal processes|Facebook Ads|Instagram Ads|1 week ago",https://internshala.com/internship/detail/performance-marketing-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1769586162,"₹ 5,000 - 10,000",3 Months,7500.0,Marketing & Growth,False
AI & Gen AI Engineers To Shape Next-Gen Entertainment,Hungama Digital Media Entertainment Private Limited,"Mumbai, Noida","AI & Gen AI Engineers To Shape Next-Gen Entertainment|Hungama Digital Media Entertainment Private Limited|Actively hiring|Mumbai, Noida|₹ 25,000 - 50,000 /month|6 Months|A. AI/ML Engineering & Development:
1. Architect and deploy generative AI models and pipelines specifically focused on audio, video, and interactive storytelling.
2. Optimize and scale existing AI/ML systems to handle real-world production loads within the Hungama content ecosystem.
3. Integrate intelligent content systems and recommendation engines to enhance user engagement and personalization.
4. Collaborate on ""build and break"" cycles to stress-test system reliability and performance at scale.

B. GenAI Creative Pipelines:
1. Develop and refine workflows using industry-standard GenAI tools for automated audio and video content creation.
2. Bridge the gap between raw AI capabilities and creative output, ensuring high-quality, ""human-ready"" entertainment media.
3. Experiment with custom pipelines to automate repetitive content tasks, reducing the time from concept to production.

C. Product & Scale:
1. Monitor and iterate on live production models, ensuring AI-assisted content remains accurate, relevant, and impactful for real users.
2. Translate research into applied AI, moving beyond theoretical experiments to create tangible features for large-scale audiences.
3. Collaborate cross-functionally with product and creative teams to align AI development with overall entertainment goals.|Artificial intelligence|Generative AI Tools|1 week ago",https://internshala.com/internship/detail/ai-gen-ai-engineers-to-shape-next-gen-entertainment-internship-in-multiple-locations-at-hungama-digital-media-entertainment-private-limited1769496080,"₹ 25,000 - 50,000",6 Months,37500.0,Data Science & AI,False
Creative Intern – Micro-Drama & Serialized Content,Hungama Digital Media Entertainment Private Limited,Mumbai,"Creative Intern – Micro-Drama & Serialized Content|Hungama Digital Media Entertainment Private Limited|Actively hiring|Mumbai|₹ 5,000 - 10,000 /month|3 Months|1. Micro-Drama Scripting: Assist in developing scripts that fit the ""vertical soap opera"" format-fast-paced, high emotion, and instant gratification.
2. Episode Structuring: You will learn to structure episodes where every 60-90 seconds ends on a cliffhanger to ensure the user swipes to the next episode.
3. Platform Analysis: Daily monitoring of trending formats on Moj, ShareChat, and Chingari. You need to tell us why a specific drama is trending (is it the music, the dialogue, the plot twist?).
4. Content Strategy: Help us adapt classic storytelling tropes (romance, revenge, family drama) for a modern, short-video audience.|Video Editing|Creative Thinking|2 weeks ago",https://internshala.com/internship/detail/marketing-social-media-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1769083601,"₹ 5,000 - 10,000",3 Months,7500.0,Marketing & Growth,False
Digital Marketing,Turtlemint,Mumbai,"Digital Marketing|Turtlemint|Actively hiring|Mumbai|₹ 10,000 - 15,000 /month|6 Months|1. Create campaign templates, set up campaigns, and monitor results for performance efficiency.
2. Conduct A/B testing experiments and implement learnings to optimize conversions and engagement.
3. Prepare regular performance reports, highlight insights, and coordinate with cross-functional teams for improvements.|Digital Marketing|Facebook Marketing|Creative Writing|Email Marketing|English Proficiency (Written)|3 weeks ago|Job offer upto|₹ 6LPA|post internship",https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-turtlemint1768563908,"₹ 10,000 - 15,000",6 Months,12500.0,Marketing & Growth,False
Digital Marketing,Everest Fleet Private Limited,Bangalore,"Digital Marketing|Everest Fleet Private Limited|Bangalore|₹ 6,000 - 8,000 /month|6 Months|Selected intern's day-to-day responsibilites include:

1. Assist in planning and executing digital marketing campaigns across social media, email, and websites
2. Create engaging content (posts, captions, creatives) using AI tools like ChatGPT, Canva, etc.
3. Support SEO activities including keyword research, on-page optimization, and content suggestions using AI tools
4. Analyze campaign performance using tools like Google Analytics and AI-based insights
5. Assist in running paid ads (Google Ads, Meta Ads) and optimize using AI recommendations
6. Conduct market and competitor research using AI tools
7. Support automation of marketing workflows (email campaigns, chatbots, lead tracking)
8. Prepare reports and presentations on campaign performance|Social Media Marketing|Search Engine Marketing (SEM)|Digital Marketing|Search Engine Optimization (SEO)|Facebook Marketing|Creative Writing|English Proficiency (Spoken)|+2 more|3 weeks ago|Job offer upto|₹ 4LPA|post internship",https://internshala.com/internship/detail/digital-marketing-internship-in-bangalore-at-everest-fleet-private-limited1768449910,"₹ 6,000 - 8,000",6 Months,7000.0,Marketing & Growth,False
Business Strategy,Turtlemint,Mumbai,"Business Strategy|Turtlemint|Mumbai|₹ 15,000 /month|6 Months|1. Build and deploy customer journeys and campaigns.
2. Create contest analysis using excel and various data driven tools.
3. Monitor campaign performance, track KPIs, and generate insights to improve conversions.
4. Conduct A/B testing and experiments to identify winning creatives, messaging, and audience segments.
5. Use basic analytics and Excel-based reporting for measuring engagement and impact.
6. Collaborate with design and product teams to refine campaign content and flow.
7. Continuously optimize campaigns based on data-driven insights and user behavior patterns.|MS-PowerPoint|Strategy|MS-Excel|Power BI|Research and Analytics|3 weeks ago|Job offer starting|₹ 6.5LPA|post internship",https://internshala.com/internship/detail/business-strategy-internship-in-mumbai-at-shambhavi-dixit1767950595,"₹ 15,000",6 Months,15000.0,Other,False
Performance Marketing,Paracoat Products Limited,Gurgaon,"Performance Marketing|Paracoat Products Limited|Actively hiring|Gurgaon|₹ 10,000 /month|3 Months|We are looking for a motivated 'Paid Ads/Performance Marketing Intern' to help manage and optimize online advertising campaigns. This role is ideal for someone who wants hands-on experience in performance marketing and paid advertising.

Selected intern’s day-to-day responsibilities include:

1. Assist in setting up and managing ads on Facebook, Instagram, and Google.
2. Monitor daily ad performance and help optimize campaigns for better results.
3. Support A/B testing of ad creatives, copies, and audiences.
4. Track leads, conversions, and basic performance metrics.
5. Prepare simple performance reports using Excel or Google Sheets.
6. Work closely with the marketing team to improve ad performance and learn best practices.|Google Analytics|Search Engine Marketing (SEM)|Digital Marketing|Google AdWords|Facebook Ads|Instagram Ads|A/B Testing|3 weeks ago",https://internshala.com/internship/detail/performance-marketing-internship-in-gurgaon-at-paracoat-products-limited1766991248,"₹ 10,000",3 Months,10000.0,Marketing & Growth,False
Backend Development,Unnati Enterprises,"Secunderabad, Hyderabad(Hybrid)","Backend Development|Unnati Enterprises|Actively hiring|Secunderabad, Hyderabad|(Hybrid)|₹ 20,000 - 25,000 /month|4 Weeks|Roles and Responsibilities: Back-end Developer
Adding and improving functions to the various domains.
Creating REST APIs for back-end services such as authentication and authorization.
Creating and maintaining our apps' essential business logic, providing correct data processing and flawless user experiences.
Database design, implementation, and management, including schema design, query optimisation and data integrity.
Participating in code reviews, providing constructive input, and ensuring that code quality standards are met.
Keep abreast of industry developments and best practices to bring new solutions to our initiativ|Python|SQL|Data Analytics|MS-Excel|Data Science|Power BI|Tableau|1 day ago|Job offer upto|₹ 7LPA|post internship|Part time",https://internshala.com/internship/detail/backend-development-internship-in-multiple-locations-at-unnati-enterprises1770449494,"₹ 20,000 - 25,000",4 Weeks,22500.0,Web/Software Dev,False
Data Science and AI,Talent Corner HR Services,Mumbai,"Data Science and AI|Talent Corner HR Services|Actively hiring|Mumbai|₹ 2,000 - 5,000 /month|3 Months|1. Collect, clean, and preprocess structured and unstructured data
2. Conduct exploratory data analysis (EDA) to uncover patterns, trends, and insights
3. Develop, train, and test Machine Learning and AI models using Python
4. Use statistical and predictive modeling to solve business problems
5. Utilize libraries such as Pandas, NumPy, Scikit-learn, and TensorFlow/PyTorch
6. Develop data visualizations and reports to effectively communicate insights
7. Help with feature engineering and model optimization
8. Contribute to projects with data scientists and AI engineers
9. Document data pipelines, model outputs, and project insights
10. Help with the deployment of models and dashboards|Time Management|Network Management|Data Science|Interpersonal skills|Effective Communication|Artificial Intelligence Markup Language (AIML)|4 days ago",https://internshala.com/internship/detail/data-science-and-ai-internship-in-mumbai-at-talent-corner-hr-services1770183592,"₹ 2,000 - 5,000",3 Months,3500.0,Data Science & AI,False
Business Operations Analyst,Logicode,Ahmedabad,"Business Operations Analyst|Logicode|Actively hiring|Ahmedabad|₹ 15,000 - 30,000 /month|6 Months|We are looking for a highly organized, detail-driven business operations analyst to support and optimize our day-to-day operational workflows. This role plays a critical part in ensuring operational accuracy, process consistency, and cross-functional coordination. You will work closely with multiple teams to manage structured data, maintain operational standards, and identify opportunities to improve efficiency. This position is well-suited for an analytical, process-oriented professional- particularly someone preparing for or planning to pursue an MBA- who is seeking hands-on exposure to business operations, strategy execution, and organizational scale.



1. Accurately complete, review, and upload structured internal and external forms (e.g., vendor onboarding, client intake, internal requests) into designated systems.
2. Ensure all submissions align with internal quality benchmarks and company-defined processes (operational compliance, not legal or regulatory).
3. Monitor workflows to identify bottlenecks, inconsistencies, or inefficiencies, and recommend practical process improvements.
4. Collaborate cross-functionally with sales, finance, HR, and customer success to gather required information and resolve discrepancies.
5. Maintain well-organized digital records and documentation to support audit readiness and operational transparency.
6. Prepare basic operational reports and metrics, including turnaround times, error rates, and submission volumes.
7. Support special initiatives related to process optimization, automation, system implementations, or operational scaling.|Computer skills|English Proficiency (Written)|Email Management|Google Sheets|Prompt Engineering|7 days ago",https://internshala.com/internship/detail/business-operations-analyst-internship-in-ahmedabad-at-logicode1769863325,"₹ 15,000 - 30,000",6 Months,22500.0,Data Science & AI,False
Robotics & AI Foundations,Go Alpha Kids,"Pune, Mumbai","Robotics & AI Foundations|Go Alpha Kids|Actively hiring|Pune, Mumbai|₹ 5,000 - 10,000 /month|6 Weeks|1. Conduct guided STEM activities for kids aged 4–10 years
2. Assist in robot-based games, puzzles, drawing, and logic activities
3. Ensure safety, discipline, and a positive learning environment
4. Coordinate with trainers and operations team
5. Support setup and execution of daily activities|Creative Thinking|Problem Solving|3 days ago|Part time",https://internshala.com/internship/detail/part-time-robotics-ai-foundations-internship-in-multiple-locations-at-go-alpha-kids1770268712,"₹ 5,000 - 10,000",6 Weeks,7500.0,Data Science & AI,False
Performance Marketing,Volzad,Gurgaon,"Performance Marketing|Volzad|Actively hiring|Gurgaon|₹ 10,000 - 15,000 /month|6 Months|1. Assist in planning and executing performance marketing campaigns across Google Ads, Meta Ads, and other platforms
2. Monitor campaign performance, CTR, CPC, conversions, and ROI
3. Conduct keyword research and audience targeting analysis
4. Support A/B testing of ad copies, creatives, and landing pages
5. Prepare basic performance reports and insights
6. Collaborate with content and design teams for campaign optimization|Data Analytics|Google AdWords|Facebook Ads|Performance Marketing|Instagram Ads|3 days ago",https://internshala.com/internship/detail/performance-marketing-internship-in-gurgaon-at-volzad1770201478,"₹ 10,000 - 15,000",6 Months,12500.0,Marketing & Growth,False
Search Engine Optimization (SEO),Plan D Media,Kolkata(Hybrid),"Search Engine Optimization (SEO)|Plan D Media|Actively hiring|Kolkata|(Hybrid)|₹ 7,000 - 11,000 /month|3 Months|As a Search Engine Optimization (SEO)/ GEO intern at Plan D Media, you will have the opportunity to hone your skills in SEO,AI Search, AEO, GEO,  English proficiency, Google Analytics, Digital Marketing, Search console, Contextual back links and HTML. 



1. Conducting keyword research and analysis to optimize website content for search engines
2. Creating SEO strategies to improve website ranking and visibility
3. Monitoring and analyzing website traffic using Google Analytics to make data-driven decisions
4. Collaborating with the digital marketing team to implement AI SEO and GEO best practices
5. Optimizing meta tags, headings, and alt text to improve search engine rankings
6. Assisting in the development of SEO-friendly content and link-building strategies
7. Staying up-to-date on the latest trends and best practices in SEO to continuously improve website performance. 

If you are passionate about digital marketing and eager to learn and grow in the field of SEO, this internship opportunity at Plan D Media is perfect for you. Join our team and make a real impact on our clients' online presence!|HTML|Google Analytics|Digital Marketing|Search Engine Optimization (SEO)|English Proficiency (Written)|1 week ago|Be an early applicant",https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-kolkata-at-plan-d-media1769599829,"₹ 7,000 - 11,000",3 Months,9000.0,Marketing & Growth,False
Quality Control Supervisor,Farmdidi,Pune,"Quality Control Supervisor|Farmdidi|Actively hiring|Pune|₹ 10,000 /month|4 Months|1. Develop, implement, and maintain food safety and quality management systems.
2. Create and implement standard operating procedures (SOPs) for food production, handling, and storage to ensure compliance with safety and quality regulations.
3. Conduct regular inspections and audits of production facilities at villages and processes to identify potential hazards and ensure adherence to SOPs.
4. Monitor and analyze data related to food quality and safety, identifying trends and implementing corrective actions as needed.
5. Conduct routine inspections of raw materials, production processes, and finished products.
6. Perform basic quality tests on ingredients and finished products. Maintain accurate records of test results, inspections, and corrective actions.
7. Provide training to rural women on food safety and quality procedures and make sure they adhere to them.
8. Manage relationships with regulatory agencies and ensure compliance with all applicable food safety laws and regulations.
9. Collaborate with other departments, such as production, procurement, and marketing, to ensure that food safety and quality are integrated throughout the entire supply chain.
10. Investigate and resolve customer complaints related to food quality or safety.
11. Stay up-to-date on the latest food safety regulations, industry best practices, and scientific advancements in food technology.|Quality Assurance/Quality Control (QA/QC)|2 days ago|Job offer upto|₹ 3LPA|post internship",https://internshala.com/internship/detail/quality-control-supervisor-internship-in-pune-at-farmdidi1770363138,"₹ 10,000",4 Months,10000.0,Other,False
Campus Ambassador,IESoft Technologies Private Limited,Work from home,"Campus Ambassador|IESoft Technologies Private Limited|Actively hiring|Work from home|Performance Based|2 Months|Iesoft Technologies invites motivated and tech-curious students to join its Campus Ambassador Program focused on event-driven architecture (EDA) and multi-agent AI systems. The program offers hands-on exposure to modern system concepts and open-source ecosystems through GitHub.

As a campus ambassador, you will represent the program in the student community, promote technical awareness, and drive participation in industry-relevant learning initiatives.

The campus ambassador's day-to-day responsibilities include:

1. Organize awareness sessions and peer-learning activities within the student community
2. Share curated learning resources and guide students through the program flow
3. Encourage students to explore open-source GitHub repositories
4. Explore GitHub repositories yourself and understand key features and system flows
5. Submit a monthly campus engagement summary|Python|GitHub|Data Science|English Proficiency (Spoken)|English Proficiency (Written)|Artificial intelligence|Interpersonal skills|+6 more|2 days ago|Part time",https://internshala.com/internship/detail/campus-ambassador-programme-at-iesoft-technologies-private-limited1770362341,Negotiable/Na,2 Months,0.0,Other,True
Digital Marketing,IFS Consultants Private Limited,Visakhapatnam,"Digital Marketing|IFS Consultants Private Limited|Actively hiring|Visakhapatnam|₹ 12,000 - 15,000 /month|6 Months|As a 'Digital Marketing Intern' at IFS Consultants Private Limited, you will have the exciting opportunity to work with a dynamic team and contribute to the company's online presence. We are looking for someone who is knowledgeable in SEM, email marketing, SEO, social media marketing, Facebook marketing, and Instagram marketing.

Selected intern's day-to-day responsibilites include:

1. Assisting in the development and implementation of digital marketing strategies to drive online traffic and engagement.
2. Managing and creating content for various social media platforms to increase brand awareness and engagement.
3. Monitoring and analyzing website and social media performance metrics to optimize campaigns and strategies.
4. Assisting in the creation and execution of email marketing campaigns to drive conversions and customer retention.
5. Conducting keyword research and optimizing website content for SEO to improve search engine rankings.
6. Collaborating with the marketing team to develop creative and innovative marketing campaigns.
7. Staying up-to-date with the latest digital marketing trends and best practices to continuously improve strategies and campaigns.

If you are a proactive and creative individual with a passion for digital marketing, we would love to hear from you! Join us and take your digital marketing skills to the next level with IFS Consultants Private Limited.|Social Media Marketing|Search Engine Marketing (SEM)|Digital Marketing|Search Engine Optimization (SEO)|Facebook Marketing|Email Marketing|Instagram Marketing|3 weeks ago|Job offer upto|₹ 3LPA|post internship",https://internshala.com/internship/detail/digital-marketing-internship-in-visakhapatnam-at-ifs-consultants-private-limited1767934315,"₹ 12,000 - 15,000",6 Months,13500.0,Marketing & Growth,False
